symboling,make,fuel-type,aspiration,num-of-doors,body-style,drive-wheels,engine-location,engine-type,num-of-cylinders,fuel-system
3,alfa-romero,gas,std,two,convertible,rwd,front,dohc,four,mpfi
3,alfa-romero,gas,std,two,convertible,rwd,front,dohc,four,mpfi
1,alfa-romero,gas,std,two,hatchback,rwd,front,ohcv,six,mpfi
2,audi,gas,std,four,sedan,fwd,front,ohc,four,mpfi
2,audi,gas,std,four,sedan,4wd,front,ohc,five,mpfi
2,audi,gas,std,two,sedan,fwd,front,ohc,five,mpfi
1,audi,gas,std,four,sedan,fwd,front,ohc,five,mpfi
1,audi,gas,std,four,wagon,fwd,front,ohc,five,mpfi
1,audi,gas,turbo,four,sedan,fwd,front,ohc,five,mpfi
2,bmw,gas,std,two,sedan,rwd,front,ohc,four,mpfi
0,bmw,gas,std,four,sedan,rwd,front,ohc,four,mpfi
0,bmw,gas,std,two,sedan,rwd,front,ohc,six,mpfi
0,bmw,gas,std,four,sedan,rwd,front,ohc,six,mpfi
1,bmw,gas,std,four,sedan,rwd,front,ohc,six,mpfi
0,bmw,gas,std,four,sedan,rwd,front,ohc,six,mpfi
0,bmw,gas,std,two,sedan,rwd,front,ohc,six,mpfi
0,bmw,gas,std,four,sedan,rwd,front,ohc,six,mpfi
2,chevrolet,gas,std,two,hatchback,fwd,front,l,three,2bbl
1,chevrolet,gas,std,two,hatchback,fwd,front,ohc,four,2bbl
0,chevrolet,gas,std,four,sedan,fwd,front,ohc,four,2bbl
1,dodge,gas,std,two,hatchback,fwd,front,ohc,four,2bbl
1,dodge,gas,std,two,hatchback,fwd,front,ohc,four,2bbl
1,dodge,gas,turbo,two,hatchback,fwd,front,ohc,four,mpfi
1,dodge,gas,std,four,hatchback,fwd,front,ohc,four,2bbl
1,dodge,gas,std,four,sedan,fwd,front,ohc,four,2bbl
1,dodge,gas,std,four,sedan,fwd,front,ohc,four,2bbl
1,dodge,gas,turbo,four,sedan,fwd,front,ohc,four,mpfi
-1,dodge,gas,std,four,wagon,fwd,front,ohc,four,2bbl
3,dodge,gas,turbo,two,hatchback,fwd,front,ohc,four,mfi
2,honda,gas,std,two,hatchback,fwd,front,ohc,four,1bbl
2,honda,gas,std,two,hatchback,fwd,front,ohc,four,1bbl
1,honda,gas,std,two,hatchback,fwd,front,ohc,four,1bbl
1,honda,gas,std,two,hatchback,fwd,front,ohc,four,1bbl
1,honda,gas,std,two,hatchback,fwd,front,ohc,four,1bbl
0,honda,gas,std,four,sedan,fwd,front,ohc,four,1bbl
0,honda,gas,std,four,wagon,fwd,front,ohc,four,1bbl
0,honda,gas,std,two,hatchback,fwd,front,ohc,four,1bbl
0,honda,gas,std,two,hatchback,fwd,front,ohc,four,1bbl
0,honda,gas,std,four,sedan,fwd,front,ohc,four,1bbl
0,honda,gas,std,four,sedan,fwd,front,ohc,four,1bbl
0,honda,gas,std,four,sedan,fwd,front,ohc,four,mpfi
1,honda,gas,std,two,sedan,fwd,front,ohc,four,2bbl
0,isuzu,gas,std,four,sedan,rwd,front,ohc,four,2bbl
2,isuzu,gas,std,two,hatchback,rwd,front,ohc,four,spfi
0,jaguar,gas,std,four,sedan,rwd,front,dohc,six,mpfi
0,jaguar,gas,std,four,sedan,rwd,front,dohc,six,mpfi
0,jaguar,gas,std,two,sedan,rwd,front,ohcv,twelve,mpfi
1,mazda,gas,std,two,hatchback,fwd,front,ohc,four,2bbl
1,mazda,gas,std,two,hatchback,fwd,front,ohc,four,2bbl
1,mazda,gas,std,two,hatchback,fwd,front,ohc,four,2bbl
1,mazda,gas,std,four,sedan,fwd,front,ohc,four,2bbl
1,mazda,gas,std,four,sedan,fwd,front,ohc,four,2bbl
3,mazda,gas,std,two,hatchback,rwd,front,rotor,two,4bbl
3,mazda,gas,std,two,hatchback,rwd,front,rotor,two,4bbl
3,mazda,gas,std,two,hatchback,rwd,front,rotor,two,4bbl
3,mazda,gas,std,two,hatchback,rwd,front,rotor,two,mpfi
1,mazda,gas,std,two,hatchback,fwd,front,ohc,four,2bbl
0,mazda,gas,std,four,sedan,fwd,front,ohc,four,2bbl
1,mazda,gas,std,two,hatchback,fwd,front,ohc,four,2bbl
0,mazda,gas,std,four,sedan,fwd,front,ohc,four,2bbl
0,mazda,diesel,std,four,sedan,fwd,front,ohc,four,idi
0,mazda,gas,std,four,hatchback,fwd,front,ohc,four,2bbl
0,mazda,gas,std,four,sedan,rwd,front,ohc,four,mpfi
0,mazda,diesel,std,four,sedan,rwd,front,ohc,four,idi
-1,mercedes-benz,diesel,turbo,four,sedan,rwd,front,ohc,five,idi
-1,mercedes-benz,diesel,turbo,four,wagon,rwd,front,ohc,five,idi
0,mercedes-benz,diesel,turbo,two,hardtop,rwd,front,ohc,five,idi
-1,mercedes-benz,diesel,turbo,four,sedan,rwd,front,ohc,five,idi
-1,mercedes-benz,gas,std,four,sedan,rwd,front,ohcv,eight,mpfi
3,mercedes-benz,gas,std,two,convertible,rwd,front,ohcv,eight,mpfi
0,mercedes-benz,gas,std,four,sedan,rwd,front,ohcv,eight,mpfi
1,mercedes-benz,gas,std,two,hardtop,rwd,front,ohcv,eight,mpfi
1,mercury,gas,turbo,two,hatchback,rwd,front,ohc,four,mpfi
2,mitsubishi,gas,std,two,hatchback,fwd,front,ohc,four,2bbl
2,mitsubishi,gas,std,two,hatchback,fwd,front,ohc,four,2bbl
2,mitsubishi,gas,std,two,hatchback,fwd,front,ohc,four,2bbl
1,mitsubishi,gas,turbo,two,hatchback,fwd,front,ohc,four,spdi
3,mitsubishi,gas,turbo,two,hatchback,fwd,front,ohc,four,spdi
3,mitsubishi,gas,std,two,hatchback,fwd,front,ohc,four,2bbl
3,mitsubishi,gas,turbo,two,hatchback,fwd,front,ohc,four,spdi
3,mitsubishi,gas,turbo,two,hatchback,fwd,front,ohc,four,spdi
3,mitsubishi,gas,turbo,two,hatchback,fwd,front,ohc,four,spdi
1,mitsubishi,gas,std,four,sedan,fwd,front,ohc,four,2bbl
1,mitsubishi,gas,std,four,sedan,fwd,front,ohc,four,2bbl
1,mitsubishi,gas,turbo,four,sedan,fwd,front,ohc,four,spdi
-1,mitsubishi,gas,std,four,sedan,fwd,front,ohc,four,spdi
1,nissan,gas,std,two,sedan,fwd,front,ohc,four,2bbl
1,nissan,diesel,std,two,sedan,fwd,front,ohc,four,idi
1,nissan,gas,std,two,sedan,fwd,front,ohc,four,2bbl
1,nissan,gas,std,four,sedan,fwd,front,ohc,four,2bbl
1,nissan,gas,std,four,wagon,fwd,front,ohc,four,2bbl
1,nissan,gas,std,two,sedan,fwd,front,ohc,four,2bbl
1,nissan,gas,std,two,hatchback,fwd,front,ohc,four,2bbl
1,nissan,gas,std,four,sedan,fwd,front,ohc,four,2bbl
1,nissan,gas,std,four,wagon,fwd,front,ohc,four,2bbl
2,nissan,gas,std,two,hardtop,fwd,front,ohc,four,2bbl
0,nissan,gas,std,four,hatchback,fwd,front,ohc,four,2bbl
0,nissan,gas,std,four,sedan,fwd,front,ohc,four,2bbl
0,nissan,gas,std,four,sedan,fwd,front,ohcv,six,mpfi
0,nissan,gas,std,four,wagon,fwd,front,ohcv,six,mpfi
0,nissan,gas,std,four,sedan,fwd,front,ohcv,six,mpfi
3,nissan,gas,std,two,hatchback,rwd,front,ohcv,six,mpfi
3,nissan,gas,turbo,two,hatchback,rwd,front,ohcv,six,mpfi
1,nissan,gas,std,two,hatchback,rwd,front,ohcv,six,mpfi
0,peugot,gas,std,four,sedan,rwd,front,l,four,mpfi
0,peugot,diesel,turbo,four,sedan,rwd,front,l,four,idi
0,peugot,gas,std,four,wagon,rwd,front,l,four,mpfi
0,peugot,diesel,turbo,four,wagon,rwd,front,l,four,idi
0,peugot,gas,std,four,sedan,rwd,front,l,four,mpfi
0,peugot,diesel,turbo,four,sedan,rwd,front,l,four,idi
0,peugot,gas,std,four,wagon,rwd,front,l,four,mpfi
0,peugot,diesel,turbo,four,wagon,rwd,front,l,four,idi
0,peugot,gas,std,four,sedan,rwd,front,l,four,mpfi
0,peugot,diesel,turbo,four,sedan,rwd,front,l,four,idi
0,peugot,gas,turbo,four,sedan,rwd,front,l,four,mpfi
1,plymouth,gas,std,two,hatchback,fwd,front,ohc,four,2bbl
1,plymouth,gas,turbo,two,hatchback,fwd,front,ohc,four,spdi
1,plymouth,gas,std,four,hatchback,fwd,front,ohc,four,2bbl
1,plymouth,gas,std,four,sedan,fwd,front,ohc,four,2bbl
1,plymouth,gas,std,four,sedan,fwd,front,ohc,four,2bbl
-1,plymouth,gas,std,four,wagon,fwd,front,ohc,four,2bbl
3,plymouth,gas,turbo,two,hatchback,rwd,front,ohc,four,spdi
3,porsche,gas,std,two,hatchback,rwd,front,ohc,four,mpfi
3,porsche,gas,std,two,hardtop,rwd,rear,ohcf,six,mpfi
3,porsche,gas,std,two,hardtop,rwd,rear,ohcf,six,mpfi
3,porsche,gas,std,two,convertible,rwd,rear,ohcf,six,mpfi
0,renault,gas,std,four,wagon,fwd,front,ohc,four,mpfi
2,renault,gas,std,two,hatchback,fwd,front,ohc,four,mpfi
3,saab,gas,std,two,hatchback,fwd,front,ohc,four,mpfi
2,saab,gas,std,four,sedan,fwd,front,ohc,four,mpfi
3,saab,gas,std,two,hatchback,fwd,front,ohc,four,mpfi
2,saab,gas,std,four,sedan,fwd,front,ohc,four,mpfi
3,saab,gas,turbo,two,hatchback,fwd,front,dohc,four,mpfi
2,saab,gas,turbo,four,sedan,fwd,front,dohc,four,mpfi
2,subaru,gas,std,two,hatchback,fwd,front,ohcf,four,2bbl
2,subaru,gas,std,two,hatchback,fwd,front,ohcf,four,2bbl
2,subaru,gas,std,two,hatchback,4wd,front,ohcf,four,2bbl
0,subaru,gas,std,four,sedan,fwd,front,ohcf,four,2bbl
0,subaru,gas,std,four,sedan,fwd,front,ohcf,four,2bbl
0,subaru,gas,std,four,sedan,fwd,front,ohcf,four,mpfi
0,subaru,gas,std,four,sedan,4wd,front,ohcf,four,2bbl
0,subaru,gas,turbo,four,sedan,4wd,front,ohcf,four,mpfi
0,subaru,gas,std,four,wagon,fwd,front,ohcf,four,2bbl
0,subaru,gas,std,four,wagon,fwd,front,ohcf,four,mpfi
0,subaru,gas,std,four,wagon,4wd,front,ohcf,four,2bbl
0,subaru,gas,turbo,four,wagon,4wd,front,ohcf,four,mpfi
1,toyota,gas,std,two,hatchback,fwd,front,ohc,four,2bbl
1,toyota,gas,std,two,hatchback,fwd,front,ohc,four,2bbl
1,toyota,gas,std,four,hatchback,fwd,front,ohc,four,2bbl
0,toyota,gas,std,four,wagon,fwd,front,ohc,four,2bbl
0,toyota,gas,std,four,wagon,4wd,front,ohc,four,2bbl
0,toyota,gas,std,four,wagon,4wd,front,ohc,four,2bbl
0,toyota,gas,std,four,sedan,fwd,front,ohc,four,2bbl
0,toyota,gas,std,four,hatchback,fwd,front,ohc,four,2bbl
0,toyota,diesel,std,four,sedan,fwd,front,ohc,four,idi
0,toyota,diesel,std,four,hatchback,fwd,front,ohc,four,idi
0,toyota,gas,std,four,sedan,fwd,front,ohc,four,2bbl
0,toyota,gas,std,four,hatchback,fwd,front,ohc,four,2bbl
0,toyota,gas,std,four,sedan,fwd,front,ohc,four,2bbl
1,toyota,gas,std,two,sedan,rwd,front,ohc,four,2bbl
1,toyota,gas,std,two,hatchback,rwd,front,ohc,four,2bbl
1,toyota,gas,std,two,sedan,rwd,front,dohc,four,mpfi
1,toyota,gas,std,two,hatchback,rwd,front,dohc,four,mpfi
2,toyota,gas,std,two,hardtop,rwd,front,ohc,four,mpfi
2,toyota,gas,std,two,hardtop,rwd,front,ohc,four,mpfi
2,toyota,gas,std,two,hatchback,rwd,front,ohc,four,mpfi
2,toyota,gas,std,two,hardtop,rwd,front,ohc,four,mpfi
2,toyota,gas,std,two,hatchback,rwd,front,ohc,four,mpfi
2,toyota,gas,std,two,convertible,rwd,front,ohc,four,mpfi
-1,toyota,gas,std,four,sedan,fwd,front,ohc,four,mpfi
-1,toyota,diesel,turbo,four,sedan,fwd,front,ohc,four,idi
-1,toyota,gas,std,four,hatchback,fwd,front,ohc,four,mpfi
-1,toyota,gas,std,four,sedan,fwd,front,ohc,four,mpfi
-1,toyota,gas,std,four,hatchback,fwd,front,ohc,four,mpfi
3,toyota,gas,std,two,hatchback,rwd,front,dohc,six,mpfi
3,toyota,gas,std,two,hatchback,rwd,front,dohc,six,mpfi
-1,toyota,gas,std,four,sedan,rwd,front,dohc,six,mpfi
-1,toyota,gas,std,four,wagon,rwd,front,dohc,six,mpfi
2,volkswagen,diesel,std,two,sedan,fwd,front,ohc,four,idi
2,volkswagen,gas,std,two,sedan,fwd,front,ohc,four,mpfi
2,volkswagen,diesel,std,four,sedan,fwd,front,ohc,four,idi
2,volkswagen,gas,std,four,sedan,fwd,front,ohc,four,mpfi
2,volkswagen,gas,std,four,sedan,fwd,front,ohc,four,mpfi
2,volkswagen,diesel,turbo,four,sedan,fwd,front,ohc,four,idi
2,volkswagen,gas,std,four,sedan,fwd,front,ohc,four,mpfi
3,volkswagen,gas,std,two,convertible,fwd,front,ohc,four,mpfi
3,volkswagen,gas,std,two,hatchback,fwd,front,ohc,four,mpfi
0,volkswagen,gas,std,four,sedan,fwd,front,ohc,five,mpfi
0,volkswagen,diesel,turbo,four,sedan,fwd,front,ohc,four,idi
0,volkswagen,gas,std,four,wagon,fwd,front,ohc,four,mpfi
-2,volvo,gas,std,four,sedan,rwd,front,ohc,four,mpfi
-1,volvo,gas,std,four,wagon,rwd,front,ohc,four,mpfi
-2,volvo,gas,std,four,sedan,rwd,front,ohc,four,mpfi
-1,volvo,gas,std,four,wagon,rwd,front,ohc,four,mpfi
-2,volvo,gas,turbo,four,sedan,rwd,front,ohc,four,mpfi
-1,volvo,gas,turbo,four,wagon,rwd,front,ohc,four,mpfi
-1,volvo,gas,std,four,sedan,rwd,front,ohc,four,mpfi
-1,volvo,gas,turbo,four,sedan,rwd,front,ohc,four,mpfi
-1,volvo,gas,std,four,sedan,rwd,front,ohcv,six,mpfi
-1,volvo,diesel,turbo,four,sedan,rwd,front,ohc,six,idi
-1,volvo,gas,turbo,four,sedan,rwd,front,ohc,four,mpfi
